product_id,model_name,category,condition,is_used,hashrate_ths,efficiency_j_th,price_usd,stock,doa_terms,notes
P001,L7 8800/9050,miner,new,False,,,1988.0,,7 day DOA,remarks: 7 day DOA | location: US
P002,S19 86/90T (88T avg),miner,new,False,88.0,,132.0,,,remarks: 86 and 90T mix. average TH is 88T | location: US
P003,Used S19jpro+120T mix,miner,used,True,120.0,,216.0,578,,remarks: price based on $/T (1.80) | MOQ: 200 | location: US
P004,S19K PRO 115,miner,new,False,115.0,23.0,310.5,200,,remarks: price based on $/T (2.70) | location: Asia
P005,S19XP 141T mix,miner,used,True,141.0,23.0,451.2,4000,,remarks: price based on $/T (3.20) | MOQ: 500 | location: US
P006,S21 200T,miner,new,False,200.0,17.5,1320.0,100,,remarks: price based on $/T (6.60) | location: Asia
P007,T21 190T,miner,used,True,190.0,19.0,798.0,800,,remarks: price based on $/T (4.20) | MOQ: 200 | location: US
P008,S21 Pro 220T,miner,new,False,220.0,15.0,2794.0,50,,remarks: price based on $/T (12.70) | MOQ: 20 | location: US
P009,M30S++ 110T,miner,new,False,110.0,,374.0,,5 day DOA,remarks: 5 day DOA | location: US
P010,M50 114-118T,miner,new,False,118.0,,579.0,,,remarks: Tested before shipping out | location: US
P011,L9 17G,miner,new,False,,,3700.0,30,,location: US | MOQ: 1
P012,S21 200T,miner,new,False,200.0,17.5,1320.0,100,,remarks: price based on $/T (6.60) | location: Asia
P013,S21+ 235T,miner,new,False,235.0,16.5,2420.5,300,,remarks: price based on $/T (10.30) | location: Asia
P014,Avalon A15PRO 221T,miner,new,False,221.0,16.8,3160.3,200,,remarks: price based on $/T (14.30) | MOQ: 50 | location: US
P015,S21 PRO 245T,miner,new,False,245.0,15.0,3307.5,50,,remarks: price based on $/T (13.50) | location: US
P016,S21 XP 270T,miner,new,False,270.0,13.5,4293.0,150,,remarks: price based on $/T (15.90) | location: US
P017,M60S+ 17W 204T,miner,new,False,204.0,,2203.2,1000,,remarks: price based on $/T (10.80) | location: Asia
P018,Z15 Pro 820K,miner,new,False,,,4500.0,100,,remarks: updated to Z15PRO mix pricing | location: Asia
P019,KS5 Pro 21T,miner,new,False,21.0,,1265.0,,,location: Asia
P020,KS0 Ultra,miner,new,False,,,99.0,,,location: Asia
P021,KS0,miner,new,False,,,139.99,,,location: Asia
P022,Bitmain D9,miner,new,False,,,,,,location: Asia
P023,Bitmain D9,miner,new,False,,,319.99,,,location: Asia
P024,"Jasper T3 841, 17T",miner,new,False,17.0,,189.0,,5 day DOA,remarks: 5 day DOA | location: Asia
P025,Jasper M20s 68T,miner,new,False,68.0,,340.0,,5 day DOA,remarks: 5 day DOA | location: Asia
P026,Bitmain DR7,miner,new,False,,,,,,location: Asia
P027,IceRiver KAS KS3 (use on website),miner,new,False,,,,,,location: Asia
P028,M56s 230T,miner,new,False,230.0,,2806.0,300,,remarks: price based on $/T (12.20) | hashrate range may vary | location: US
P029,S19XP 140T,miner,new,False,140.0,23.0,532.0,200,,remarks: price based on $/T (3.80) | location: Asia
P030,S19J PRO+ 120T,miner,new,False,120.0,,216.0,578,,remarks: price based on $/T (1.80) | location: US
P031,S19 PRO 110T,miner,new,False,110.0,,806.0,,,location: Asia
P032,S19J PRO 110T,miner,new,False,110.0,,865.2,,,location: Asia
P033,S19JPRO+ 120T,miner,new,False,120.0,,1013.4,,,location: Asia
P034,S19K PRO 115T,miner,new,False,115.0,23.0,310.5,200,,remarks: price based on $/T (2.70) | location: Asia
P035,S21 188T,miner,new,False,188.0,17.5,1090.4,100,,remarks: price based on $/T (5.80) | location: Asia
P036,S19kpro 115T Special offer,miner,new,False,115.0,23.0,310.5,200,,remarks: price based on $/T (2.70) | location: Asia
P037,S19K PRO 120T (23j/t),miner,new,False,120.0,23.0,348.0,200,,remarks: price based on $/T (2.90) | location: Asia
P038,S21+ 216T,miner,new,False,216.0,16.5,1965.6,300,,remarks: price based on $/T (9.10) | location: Asia
P039,S21+ 235T Oct future,miner,new,False,235.0,16.5,2420.5,300,,remarks: October future | price based on $/T (10.30) | location: Asia
P040,S21 Pro 234T,miner,new,False,234.0,15.0,3159.0,50,,remarks: price based on $/T (13.50) | location: US
P041,S21XP 270T,miner,new,False,270.0,13.5,3915.0,300,,remarks: price based on $/T (14.50) | location: Asia
P042,S21+hydro 395T mix October future,miner,new,False,395.0,15.0,3120.5,200,,remarks: price based on $/T (7.90) | location: Asia
P043,S21+hydro 358T,miner,new,False,358.0,15.0,2685.0,200,,remarks: price based on $/T (7.50) | location: Asia
P044,Whatsminer M50S++ 21w 160T,miner,new,False,160.0,,1656.0,,,location: Asia
P045,Whatsminer M60s 188T,miner,new,False,188.0,,1748.4,500,,remarks: price based on $/T (9.30) | hashrate range 188-198T | location: Asia
P046,M60s+ 17w 200T Mix future Octo.,miner,new,False,200.0,,2160.0,1000,,remarks: price based on $/T (10.80) | location: Asia
P047,Whatsminer M60S++ 222T,miner,new,False,222.0,,3285.6,100,,remarks: price based on $/T (14.80) | hashrate range 222-228T | location: Asia
P048,Avalon A15PRO 215-227T,miner,new,False,227.0,16.8,2224.6,30,,remarks: price based on $/T (9.80) | hashrate range 215-227T | location: Asia
P049,Avalon Q90T,miner,new,False,90.0,,1549.0,50,,location: US | MOQ: 1
P050,A15Pro 221T,miner,new,False,221.0,16.8,2165.8,30,,remarks: price based on $/T (9.80) | location: Asia
P051,A15XP 209T,miner,new,False,209.0,17.8,2779.7,200,,remarks: price based on $/T (13.30) | MOQ: 50 | location: US
P052,Hosting - $0.0675/kwh - $0.068 MOQ 25       $0.071/kwh MOQ: 1,hosting,new,False,,,,,,"remarks: MOQ details | location: US"
P053,Hosting - $0.065/kwh - MOQ: 4700  (must take all),hosting,new,False,,,,,,"remarks: MOQ 4700 (must take all) | location: US"

P054,1000kVA (34.5 / 480WYE),transformer,new,False,,,45000.0,1,,location: US
P055,"1750kVA (12.47 WYE, 415 WYE)",transformer,used,True,,,49980.0,1,,remarks: Used | location: US
P056,"2600kVA (12.47Delta, 415WYE)",transformer,new,False,,,55880.0,1,,location: US
P057,"SUNBELT SOLOMUN: 2500kVA (13.8Delta, 415WYE)",transformer,new,False,,,45000.0,,,location: US
P058,"3250kVA (13.8kv Delta, 415v)",transformer,new,False,,,63800.0,1,,location: US
P059,"2600kVA (13.8kv, 415)",transformer,new,False,,,49980.0,1,,location: US
P060,"Transformer 2600kVA(34.5kv, 415v)",transformer,new,False,,,53800.0,1,,remarks: New with warranty, SUPERSALE | location: US
P061,"Transformer 2600kVA(34.5kv, 415v)",transformer,new,False,,,57880.0,1,7 day DOA,remarks: Never used | location: US
P062,"Transformer 3000kVA(13.8kv Delta - 500v)",transformer,new,False,,,71800.0,,,location: US
P063,"Transformer 3000kVA (13.8 Delta, 415 WYE)",transformer,new,False,,,76800.0,,,location: US
P064,"Transformer 3000kVA (13.8Delta, 415wye)",transformer,new,False,,,77800.0,,,location: US
P065,"1750kVA (13.8kv Delta, 415v)",transformer,new,False,,,63800.0,1,,location: US

P066,Immersion: Submer,immersion_system,new,False,,,175000.0,2,,location: USA | new
P067,Air cooled: 20 foot container,container,used,True,,,22800.0,2,,remarks: Used, expired warranty | location: USA
P068,Air cooled: Antbox N5 V2,container,new,False,,,35000.0,3,,remarks: No warranty, FREE shipping | location: USA
P069,Air cooled: 40ft Container,container,new,False,,,65000.0,1,,remarks: No warranty, FREE shipping | location: USA
P070,40foot container / 1.6MW (custom build),container,new,False,,,84000.0,,,remarks: custom build | location: China | free shipping
P071,"Hydro: Custom container, 240 unit",container,new,False,,,,,,remarks: on request | location: China | free shipping
P072,Hydro: HK3 V6,container,new,False,,,,,,remarks: on request | location: China | free shipping

P073,"Cables: P13 to C20 (S21 Cable, L9) (5 feet)",cables,new,False,,,15.0,,,remarks: US/China | free shipping on orders over 100 units
P074,Cables: C20 to dual C13 (S19) (5 feet),cables,new,False,,,10.0,,,remarks: China | free shipping on orders over 100 units
P075,Cables: C20 to single C19 (5 feet),cables,new,False,,,10.0,,,remarks: China | free shipping on orders over 100 units
P076,Cables: C20 to dual C19 (5 feet),cables,new,False,,,11.0,,,remarks: China | free shipping on orders over 100 units

P077,12 port T21 PDU,pdu_fan,new,False,,,380.0,,,location: US
P078,24 port T21 PDU,pdu_fan,new,False,,,690.0,,,location: US
P079,12 port C19 PDU,pdu_fan,new,False,,,330.0,,,remarks: MOQ 2 (comes in boxes of two) | location: US
P080,S19 fan,pdu_fan,new,False,,,11.0,,,remarks: location: China | FREE shipping on orders over 20
P081,S19 premium fan,pdu_fan,new,False,,,12.0,,,remarks: location: China | FREE shipping on orders over 20
P082,S21 fan,pdu_fan,new,False,,,12.0,,,remarks: location: China | FREE shipping on orders over 20
P083,S21 PSU,pdu_fan,new,False,,,315.0,,,remarks: location: China | free shipping on orders over 10
P084,DG1 HOME 2.1G,miner,new,False,,,780.0,15,,location: US | MOQ: 1
P085,D1 mini pre,miner,new,False,,,999.0,20,,location: US | MOQ: 1
P086,Avalon Nano 3 4T,miner,new,False,4.0,,200.0,20,,location: US | MOQ: 1
P087,S21XP HYDRO 473T,miner,new,False,473.0,12.0,7095.0,8,,remarks: price based on $/T (15.00) | location: US
P088,S21 Pro 234T (USED),miner,used,True,234.0,15.5,2199.6,90,,remarks: price based on $/T (9.40) | MOQ: 90 | location: US
P089,S19kpro 120T,miner,new,False,120.0,23.0,348.0,200,,remarks: price based on $/T (2.90) | location: Asia
P090,S19kpro 110T,miner,new,False,110.0,23.0,286.0,200,,remarks: price based on $/T (2.60) | location: Asia
P091,S19kpro 105T,miner,new,False,105.0,23.0,262.5,200,,remarks: price based on $/T (2.50) | location: Asia
P092,S19kpro 120T (US list),miner,new,False,120.0,23.0,348.0,200,,remarks: US list had 120T line; verify region if needed
